405,773,490,754,600,730,1023,1023,1023,1023,512,1023,512,0,1023,0,B
404,880,649,848,769,671,1023,1023,1023,1023,512,1023,512,0,1023,0,A
387,823,476,756,585,735,1023,1023,1023,1023,1023,1023,0,0,1023,0,W
413,758,619,811,736,747,1023,1023,1023,1023,512,1023,512,0,1023,0,I
387,818,473,756,588,743,1023,1023,1023,1023,1023,1023,0,0,1023,0,W
405,760,481,752,695,744,1023,1023,1023,1023,1023,1023,0,0,512,512,F
414,754,620,811,737,749,1023,1023,1023,1023,512,1023,512,0,1023,0,I
389,777,613,848,753,631,1023,1023,1023,1023,512,1023,512,0,1023,0,Y
391,832,606,774,585,714,1023,1023,1023,1023,1023,1023,0,0,1023,0,V
451,855,635,991,629,642,1023,1023,1023,1023,1023,1023,0,0,1023,0,G
395,842,606,777,586,718,1023,1023,1023,1023,1023,1023,0,0,1023,0,V
404,848,621,827,581,610,1023,1023,1023,1023,1023,1023,0,0,1023,0,L
395,843,611,769,580,718,1023,1023,1023,1023,512,1023,512,0,1023,0,U
396,841,597,800,721,737,512,1023,1023,1023,512,1023,512,0,1023,512,M
388,772,615,803,754,628,1023,1023,1023,1023,512,1023,512,0,1023,0,Y
405,772,490,752,595,732,1023,1023,1023,1023,512,1023,512,0,1023,0,B
388,815,473,752,586,739,1023,1023,1023,1023,1023,1023,0,0,1023,0,W
413,770,619,811,735,746,1023,1023,1023,1023,512,1023,512,0,1023,0,I
388,816,474,764,586,737,1023,1023,1023,1023,1023,1023,0,0,1023,0,W
387,811,475,756,589,741,1023,1023,1023,1023,1023,1023,0,0,1023,0,W
441,850,630,988,630,643,1023,1023,1023,1023,1023,1023,0,0,1023,0,G
404,844,619,826,577,608,1023,1023,1023,1023,1023,1023,0,0,1023,0,L
389,773,615,802,754,630,1023,1023,1023,1023,512,1023,512,0,1023,0,Y
397,842,608,773,587,720,1023,1023,1023,1023,1023,1023,0,0,1023,0,V
395,861,629,827,736,785,1023,512,1023,1023,512,1023,512,0,1023,512,E
402,834,609,827,709,707,1023,1023,1023,1023,512,1023,512,0,1023,0,C
396,863,628,825,736,788,1023,512,1023,1023,512,1023,512,0,1023,512,E
391,824,472,755,588,740,1023,1023,1023,1023,1023,1023,0,0,1023,0,W
406,762,480,748,695,743,1023,1023,1023,1023,1023,1023,0,0,512,512,F
496,773,560,764,585,683,1023,1023,1023,1023,1023,512,0,0,1023,512,P
402,848,623,767,588,731,1023,1023,1023,1023,1023,512,0,512,1023,0,R
397,834,602,833,589,757,1023,1023,1023,512,1023,1023,0,0,1023,512,D
416,834,598,811,605,682,1023,1023,1023,1023,1023,512,0,0,1023,512,K
434,838,617,988,613,733,1023,1023,1023,1023,512,1023,512,0,1023,0,H
399,839,615,825,573,604,1023,1023,1023,1023,1023,1023,0,0,1023,0,L
392,815,475,757,589,739,1023,1023,1023,1023,1023,1023,0,0,1023,0,W
398,841,598,801,723,739,512,1023,1023,1023,512,1023,512,0,1023,512,M
398,847,625,811,733,781,1023,1023,1023,1023,1023,1023,0,0,1023,0,X
391,843,552,765,583,725,1023,1023,1023,1023,512,1023,512,0,1023,0,U
435,838,618,988,612,732,1023,1023,1023,1023,512,1023,512,0,1023,0,H
387,827,605,772,585,716,1023,1023,1023,1023,1023,1023,0,0,1023,0,V
390,828,607,775,585,715,1023,1023,1023,1023,1023,1023,0,0,1023,0,V
